0,1,2
5856287.0,3114675.0,1
5856287.0,4613275.0,1
5856287.0,3689350.0,1
5048250.0,5362575.0,1
5008562.0,3314700.0,1
2465388.0,4613275.0,1
2465388.0,3684587.0,1
1558925.0,5362575.0,1
1617662.0,3238500.0,1
1617662.0,4646612.0,1
1617662.0,3784600.0,1
3352800.0,5362575.0,1
3313112.0,3209925.0,1
3313112.0,4646612.0,1
3313112.0,3770312.0,1
2511425.0,5362575.0,1
2465388.0,3105150.0,1
6586538.0,5362575.0,1
6654800.0,2095500.0,1
6704013.0,4346575.0,1
6704013.0,2913063.0,1
5008562.0,4665662.0,1
5008562.0,3841750.0,1
4200525.0,5362575.0,1
4160837.0,3314700.0,1
4160837.0,4665662.0,1
4160837.0,3841750.0,1
8240713.0,1125538.0,1
7264400.0,1125538.0,1
8480425.0,1123950.0,1
7504113.0,1123950.0,1
1456580.0,5801524.0,1
2304306.0,5801524.0,1
3152031.0,5801524.0,1
4847480.0,5801524.0,1
5695205.0,5801524.0,1
261584.0,5770293.0,1
3999755.0,5801524.0,1
6542930.0,5801524.0,1
7420820.0,1493022.0,1
7420820.0,1720563.0,9
7439193.0,2583116.0,1
7439193.0,4239388.0,1
8248209.0,2583116.0,1
8248209.0,4239388.0,1
7420820.0,1792858.0,1
7420820.0,2005011.0,9
8229837.0,1792858.0,1
